image_id,angle_deg,value,unit,blur,brightness,occlusion,noise_level
train_0463,-68.876,34.083,psi,2.0,1.0,0.5,1.0
train_0464,-55.147,54.044,kPa,2.0,1.0,0,2.0
train_0465,30.668,37.667,bar,0,1.0,0.15,0.5
train_0466,58.538,148.781,kPa,1.5,1.0,0.15,0.5
train_0467,-14.707,26.323,bar,2.0,0.7,0.5,0
train_0468,46.418,69.341,psi,0,0.5,0,2.0
train_0469,83.718,50.93,bar,0,1.0,0,2.0
train_0470,66.264,124.176,psi,0,1.0,0,0
train_0471,20.473,93.649,psi,0,1.0,0.5,0.5
train_0472,-17.866,68.089,psi,0,1.0,0.5,0
train_0473,-34.912,70.907,kPa,0,1.0,0,0
train_0474,-83.225,9.194,bar,0,1.0,0.15,0
train_0475,-106.767,8.822,psi,1.5,0.7,0,0
train_0476,-82.733,31.056,kPa,0,1.0,0.3,2.0
train_0477,-114.476,4.603,kPa,0,1.0,0.15,0.5
train_0478,-82.304,25.131,psi,1.5,1.0,0,1.0
train_0479,63.464,152.886,kPa,1.5,1.0,0.15,2.0
train_0480,82.593,135.062,psi,0,1.0,0.5,0
train_0481,27.507,122.923,kPa,0,1.0,0,0
train_0482,28.785,61.994,psi,0,1.0,0,0.5
train_0483,102.7,92.792,psi,0,0.85,0.15,0
train_0484,107.792,94.913,psi,0,0.5,0,0.5
train_0485,-115.547,3.711,kPa,0,0.7,0,0
train_0486,82.261,168.551,kPa,0,0.85,0,1.0
train_0487,-47.092,30.378,psi,0.5,0.85,0,0
train_0488,23.762,95.842,psi,1.0,0.5,0.3,0
train_0489,-11.214,27.197,bar,0,1.0,0,2.0
train_0490,-103.685,6.798,psi,1.5,1.0,0,0
train_0491,112.492,58.123,bar,0,1.0,0,0.5
train_0492,37.697,131.415,kPa,0,1.0,0,0
train_0493,-5.171,28.707,bar,0.5,1.0,0,0
train_0494,-58.497,25.626,psi,0,1.0,0.3,0
train_0495,-29.317,75.569,kPa,0,1.0,0.3,0
train_0496,-3.916,48.368,psi,0,1.0,0.5,0
train_0497,61.736,151.447,kPa,0,0.5,0,2.0
train_0498,-64.819,36.787,psi,0.5,0.7,0,1.0
train_0499,-110.995,3.752,psi,1.0,1.0,0,1.0
